joker_type,owned_games,win_games,win_rate,total_points_generated,total_momentum_spent,roi
Abstract,77,76,0.987013,2225522.0,27249.0,81.673529
Black Hole,5,0,0.0,0.0,555.0,0.0
Copycat,72,44,0.611111,356580.0,44000.0,8.104091
Copyright,44,30,0.681818,-303252.0,14140.0,-21.446393
Even Steven,17,11,0.647059,277898.0,2040.0,136.22451
Family,92,66,0.717391,275840.0,85152.0,3.239384
Four Fingers,58,28,0.482759,-142540.0,19159.0,-7.439846
Odd Todd,10,7,0.7,281094.0,1191.0,236.015113
Rainbow,97,86,0.886598,2813979.0,92254.0,30.502515
Scrappy,72,33,0.458333,-3560.0,31910.0,-0.111564
Shortcut,57,31,0.54386,-2930.0,17780.0,-0.164792
Smear,81,54,0.666667,-12038.0,50639.0,-0.237722
Straitjacket,77,54,0.701299,-78516.0,47922.0,-1.638412
Tax Man,22,12,0.545455,119910.0,5754.0,20.839416
The Chairman,34,16,0.470588,163646.0,6271.0,26.095679
The Duo,60,33,0.55,129100.0,20352.0,6.343357
The Greedy,54,27,0.5,168090.0,13409.0,12.53561
The Lover,37,14,0.378378,143052.0,6566.0,21.78678
The Order,90,56,0.622222,593778.0,67086.0,8.850997
The Protector,38,17,0.447368,94182.0,6256.0,15.054668
The Tribe,83,58,0.698795,653265.0,62774.0,10.406617
Trade Insider,36,20,0.555556,-24062.0,9250.0,-2.601297
Uniform,80,43,0.5375,-50308.0,48026.0,-1.047516
